====================================================================================================
EMIT family-B CERTIFICATE   target a >= 0.8344
  witness: 1024-gon disk, 1024 arc points per curved core
  arc sagitta 4.706e-06  ->  deficit <= 1.600e-05
  search threshold = 0.834416002117   (5-D ceiling is 0.834781)
  4,194,304 seeds (depth 22), hmin 1e-05
====================================================================================================
    3,940,000/4,194,304 seeds      262,057,388 nodes   [ 273.5 min,    15,970 nodes/s]
    3,960,000/4,194,304 seeds      265,909,194 nodes   [ 277.0 min,    15,997 nodes/s]
    3,980,000/4,194,304 seeds      265,929,194 nodes   [ 277.2 min,    15,989 nodes/s]
    4,000,000/4,194,304 seeds      265,949,194 nodes   [ 277.4 min,    15,981 nodes/s]
    4,020,000/4,194,304 seeds      265,969,194 nodes   [ 277.5 min,    15,973 nodes/s]
    4,040,000/4,194,304 seeds      265,989,194 nodes   [ 277.7 min,    15,966 nodes/s]
    4,060,000/4,194,304 seeds      266,009,194 nodes   [ 277.8 min,    15,958 nodes/s]
    4,080,000/4,194,304 seeds      266,029,194 nodes   [ 278.0 min,    15,950 nodes/s]
    4,100,000/4,194,304 seeds      266,049,194 nodes   [ 278.1 min,    15,942 nodes/s]
    4,120,000/4,194,304 seeds      266,069,194 nodes   [ 278.3 min,    15,935 nodes/s]
    4,140,000/4,194,304 seeds      266,089,194 nodes   [ 278.4 min,    15,927 nodes/s]
    4,160,000/4,194,304 seeds      266,109,194 nodes   [ 278.6 min,    15,920 nodes/s]
    4,180,000/4,194,304 seeds      266,129,194 nodes   [ 278.8 min,    15,912 nodes/s]
    4,194,304/4,194,304 seeds      486,799,600 nodes   [ 591.1 min,    13,725 nodes/s]

  nodes emitted : 486,799,600   (0 stuck)
  certificate   : cert_B_08344.bin  81.3 MB  (1.34 bits/node)
  wall clock    : 591.1 min

====================================================================================================
VERIFYING  a >= 0.8344   family B = disk + Reuleaux3 + Reuleaux5
  witness: 1024-gon for the disk, 1024 arc points per core
  arc sagitta 4.706e-06  ->  deficit <= 1.600e-05
  emitter searched at 0.834416002117; this check uses 0.8344
  required: thresh - target >= deficit  ->  1.600e-05 >= 1.600e-05  OK
====================================================================================================

  nodes replayed 486,799,600   leaves checked 245,496,952   [683.9 min, 5,982 leaves/s]
  forest identity 2L - nseed = 486,799,600  vs nodes 486,799,600  OK
  cross-check: 24,704 leaves recomputed with the hand-written hull, worst disagreement 6.046e-13
  worst leaf slack above target: 1.240900e-05

====================================================================================================
  VERIFIED:  a >= 0.8344
====================================================================================================
